scenario_id,incident_id,disaster_type,severity,people_affected,resource_id,resource_type,distance_km,resource_capacity,current_workload,future_demand,capability_score,allocation_cost
1,I1_1,Heatwave,48,72,R1_1,Fire Unit,19.67,39,3,4,0.0,100000
1,I1_1,Heatwave,48,72,R1_2,Ambulance,16.58,7,1,29,0.7,187.35
1,I1_1,Heatwave,48,72,R1_3,Ambulance,7.0,37,1,91,0.7,154.95
1,I1_2,Forest Fire,33,347,R1_1,Fire Unit,17.88,39,3,4,1.0,181.6
1,I1_2,Forest Fire,33,347,R1_2,Ambulance,24.38,7,1,29,0.0,100000
1,I1_2,Forest Fire,33,347,R1_3,Ambulance,0.69,37,1,91,0.0,100000
2,I2_1,Lightning,39,111,R2_1,Fire Unit,6.68,24,2,77,0.0,100000
2,I2_1,Lightning,39,111,R2_2,Medical Response Team,8.38,4,5,58,0.9,166.0
2,I2_1,Lightning,39,111,R2_3,Fire Unit,28.13,26,0,70,0.0,100000
2,I2_1,Lightning,39,111,R2_4,Medical Response Team,19.62,42,4,46,0.9,213.2
2,I2_1,Lightning,39,111,R2_5,Disaster Response Team,18.47,47,0,5,0.0,100000
2,I2_1,Lightning,39,111,R2_6,Disaster Response Team,5.55,20,0,29,0.0,100000
2,I2_1,Lightning,39,111,R2_7,Fire Unit,22.01,26,2,58,0.0,100000
2,I2_1,Lightning,39,111,R2_8,Search and Rescue Unit,5.32,12,2,45,0.0,100000
2,I2_2,Landslide,63,53,R2_1,Fire Unit,11.69,24,2,77,0.0,100000
2,I2_2,Landslide,63,53,R2_2,Medical Response Team,29.69,4,5,58,0.0,100000
2,I2_2,Landslide,63,53,R2_3,Fire Unit,19.38,26,0,70,0.0,100000
2,I2_2,Landslide,63,53,R2_4,Medical Response Team,16.93,42,4,46,0.0,100000
2,I2_2,Landslide,63,53,R2_5,Disaster Response Team,20.7,47,0,5,0.9,193.95
2,I2_2,Landslide,63,53,R2_6,Disaster Response Team,25.36,20,0,29,0.9,223.25
2,I2_2,Landslide,63,53,R2_7,Fire Unit,23.39,26,2,58,0.0,100000
2,I2_2,Landslide,63,53,R2_8,Search and Rescue Unit,7.26,12,2,45,1.0,144.75
2,I2_3,Flood,31,195,R2_1,Fire Unit,1.45,24,2,77,0.0,100000
2,I2_3,Flood,31,195,R2_2,Medical Response Team,9.81,4,5,58,0.0,100000
2,I2_3,Flood,31,195,R2_3,Fire Unit,8.4,26,0,70,0.0,100000
2,I2_3,Flood,31,195,R2_4,Medical Response Team,6.72,42,4,46,0.0,100000
2,I2_3,Flood,31,195,R2_5,Disaster Response Team,28.32,47,0,5,0.8,223.25
2,I2_3,Flood,31,195,R2_6,Disaster Response Team,26.35,20,0,29,0.8,219.4
2,I2_3,Flood,31,195,R2_7,Fire Unit,9.78,26,2,58,0.0,100000
2,I2_3,Flood,31,195,R2_8,Search and Rescue Unit,19.84,12,2,45,0.7,206.85
3,I3_1,Medical Emergency,91,276,R3_1,Flood Rescue Team,0.6,34,3,11,0.0,100000
3,I3_1,Medical Emergency,91,276,R3_2,Ambulance,21.8,9,1,80,1.0,231.4
3,I3_1,Medical Emergency,91,276,R3_3,Flood Rescue Team,21.73,45,3,76,0.0,100000
3,I3_1,Medical Emergency,91,276,R3_4,Fire Unit,29.17,26,3,76,0.0,100000
3,I3_1,Medical Emergency,91,276,R3_5,Multi-Purpose Emergency Unit,22.98,35,2,70,0.7,252.8
3,I3_1,Medical Emergency,91,276,R3_6,Ambulance,15.48,45,5,14,1.0,207.3
3,I3_1,Medical Emergency,91,276,R3_7,Medical Response Team,3.64,43,2,14,1.0,130.1
3,I3_1,Medical Emergency,91,276,R3_8,Medical Response Team,18.95,29,1,58,1.0,211.65
3,I3_2,Flood,53,383,R3_1,Flood Rescue Team,25.33,34,3,11,1.0,228.6
3,I3_2,Flood,53,383,R3_2,Ambulance,15.48,9,1,80,0.0,100000
3,I3_2,Flood,53,383,R3_3,Flood Rescue Team,6.37,45,3,76,1.0,150.05
3,I3_2,Flood,53,383,R3_4,Fire Unit,11.53,26,3,76,0.0,100000
3,I3_2,Flood,53,383,R3_5,Multi-Purpose Emergency Unit,5.27,35,2,70,0.8,145.05
3,I3_2,Flood,53,383,R3_6,Ambulance,28.63,45,5,14,0.0,100000
3,I3_2,Flood,53,383,R3_7,Medical Response Team,27.71,43,2,14,0.0,100000
3,I3_2,Flood,53,383,R3_8,Medical Response Team,27.6,29,1,58,0.0,100000
3,I3_3,Urban Fire,94,220,R3_1,Flood Rescue Team,18.17,34,3,11,0.0,100000
3,I3_3,Urban Fire,94,220,R3_2,Ambulance,14.91,9,1,80,0.0,100000
3,I3_3,Urban Fire,94,220,R3_3,Flood Rescue Team,3.8,45,3,76,0.0,100000
