citizen_severity,nearby_reports,disaster_type,population_density,distance_critical_infra,alert_intensity,people_affected,historical_risk,severity_score,severity_level
Low,3,Forest Fire,3592,6.17,15,10,35,24.41,Moderate
High,19,Forest Fire,6058,4.87,59,75,47,55.83,High
High,27,Forest Fire,8697,3.64,70,156,66,73.3,Severe
High,27,Heatwave,9717,1.09,96,140,98,85.32,Critical
High,23,Urban Fire,9514,1.46,86,196,74,84.08,Critical
High,25,Urban Fire,9382,3.63,79,159,86,76.61,Severe
Medium,7,Landslide,5067,4.86,50,15,60,40.92,Medium
Low,5,Urban Fire,1385,8.85,17,6,6,16.85,Low
High,21,Landslide,7635,5.25,65,91,47,66.13,High
High,26,Flood,8130,3.57,90,144,57,74.98,Severe
Low,2,Lightning,1504,9.88,14,4,4,14.13,Low
High,24,Cyclone,8580,0.97,98,179,70,85.65,Critical
High,19,Earthquake,7251,1.92,75,91,60,68.18,Severe
High,23,Lightning,8704,1.16,85,121,56,76.46,Severe
High,17,Medical Emergency,6359,2.16,47,76,64,57.71,High
Medium,11,Earthquake,4071,4.8,57,39,48,47.7,Medium
High,30,Landslide,9919,0.15,99,173,99,94.17,Critical
High,22,Flood,5342,2.99,65,75,43,64.97,High
Medium,8,Landslide,4278,5.32,58,52,29,46.29,Medium
Medium,21,Forest Fire,7518,2.11,60,58,50,59.46,High
High,29,Earthquake,8258,0.71,84,182,90,88.18,Critical
Medium,15,Landslide,3908,3.59,44,49,30,46.91,Medium
Medium,14,Earthquake,4308,5.86,33,17,24,38.82,Medium
Low,2,Forest Fire,1438,6.43,18,6,28,22.82,Moderate
High,27,Earthquake,8720,1.16,82,176,90,86.7,Critical
Medium,10,Lightning,2518,5.23,36,22,53,40.99,Medium
Medium,22,Urban Fire,6668,5.14,54,112,61,59.13,High
High,27,Lightning,6817,1.91,67,120,76,76.3,Severe
Medium,13,Heatwave,4721,4.37,57,49,54,44.93,Medium
High,28,Urban Fire,7144,3.83,89,111,78,75.05,Severe
Low,4,Landslide,4438,8.4,38,5,34,27.13,Moderate
